From,To,Regular Road Cost ($),Regular Road Time (mins),Highway Cost ($),Highway Time (mins)
London,Paris,60.80,378,74.20,236
London,Milan,177.03,1297,203.18,547
London,Vienna,203.81,1280,214.11,774
London,Barcelona,215.78,1340,257.41,846
London,Madrid,248.12,1541,318.68,904
London,Lyon,132.20,1111,168.30,423
London,Berlin,154.46,1193,197.76,576
London,Venice,211.68,1222,253.41,885
London,Rome,263.03,1811,315.15,837
London,Munich,156.24,940,197.27,602
London,Zurich,135.56,1174,172.82,443
London,Amsterdam,71.93,534,92.53,269
London,Brussels,48.30,394,62.21,165
London,Florence,218.40,1981,264.53,765
London,Birmingham,26.67,166,32.71,112
London,Prague,178.61,1260,256.77,591
London,Nantes,80.12,627,154.67,364
Paris,London,66.92,466,81.15,236
Paris,Milan,133.26,1142,127.99,372
Paris,Vienna,188.70,1409,178.05,644
Paris,Barcelona,160.01,853,196.28,468
Paris,Madrid,194.10,1636,250.57,629
Paris,Lyon,66.46,511,97.29,216
Paris,Berlin,162.76,1372,138.14,539
Paris,Venice,179.18,1266,328.44,554
Paris,Rome,231.29,1950,380.85,651
Paris,Munich,132.34,814,144.15,377
Paris,Zurich,85.51,581,94.27,334
Paris,Amsterdam,77.59,563,78.86,242
Paris,Brussels,44.77,263,53.09,133
Paris,Florence,183.19,1368,327.45,669
Paris,Birmingham,97.57,773,104.22,307
Paris,Prague,159.43,1142,154.75,538
Paris,Nantes,54.87,422,91.15,199
Milan,London,184.81,1413,216.53,568
Milan,Paris,134.02,829,127.16,452
Milan,Vienna,137.25,1065,134.86,411
Milan,Barcelona,153.30,1207,203.18,409
Milan,Madrid,255.57,1954,356.28,805
Milan,Lyon,64.76,552,178.12,260
Milan,Berlin,160.80,1177,123.58,557
Milan,Venice,38.44,204,53.82,133
Milan,Rome,89.92,615,115.23,271
Milan,Munich,71.11,451,61.47,251
Milan,Zurich,42.02,284,36.66,119
Milan,Amsterdam,166.69,1333,128.54,632
Milan,Brussels,141.87,1189,127.14,513
Milan,Florence,52.41,407,61.88,145
Milan,Birmingham,214.25,1210,239.73,742
Milan,Prague,136.67,856,104.42,468
Milan,Nantes,174.31,1092,338.36,529
Vienna,London,189.78,1308,203.39,669
Vienna,Paris,172.66,1307,167.63,614
Vienna,Milan,116.51,1099,124.11,361
Vienna,Barcelona,236.84,2306,247.79,849
Vienna,Madrid,310.60,2721,351.21,1095
Vienna,Lyon,149.48,1528,158.97,644
Vienna,Berlin,83.54,534,88.04,387
Vienna,Venice,71.22,575,77.05,314
Vienna,Rome,148.60,1085,171.15,619
Vienna,Munich,49.21,444,62.58,175
Vienna,Zurich,93.23,743,105.61,332
Vienna,Amsterdam,149.77,1241,151.28,567
Vienna,Brussels,144.59,933,199.47,559
Vienna,Florence,115.24,1159,148.70,362
Vienna,Birmingham,225.78,2007,223.15,757
Vienna,Prague,40.99,344,49.98,189
Vienna,Nantes,219.42,1641,240.77,798
